,good,bad
1081,"The Carabineers, judging that it would be very difficultto catch him, sent a large Mastiff after him, one that hadwon first prize in all the dog races.  Pinocchio ran fast andthe Dog ran faster.  At so much noise, the people hung outof the windows or gathered in the street, anxious to seethe end of the contest.  But they were disappointed,for the Dog and Pinocchio raised so much dust on the road that,after a few moments, it was impossible to see them.","The Carabineers, judging that it would be very difficultto catch him, sent a large Mastiff after him, one that hadwon first prize in all the dog races.  Pinocchio ran fast andthe Dog ran faster.  At so muc"
1082,CHAPTER 28,CHA
1083,Pinocchio runs the danger of being fried in a pan like a fish,Pino
1084,"During that wild chase, Pinocchio lived through aterrible moment when he almost gave himself up as lost.This was when Alidoro (that was the Mastiff's name),in a frenzy of running, came so near that he was on thevery point of reaching him.","During that wild chase, Pinocchio lived through aterrible moment when he almost gave himself up as lost.This was when Alidoro (that was the Mastiff's name),in a frenzy of running, came so near that he was on thever"
1085,"The Marionette heard, close behind him, the laboredbreathing of the beast who was fast on his trail, and nowand again even felt his hot breath blow over him.","The Marionette heard, close behind him, the laboredbreathin"
1086,"Luckily, by this time, he was very near the shore, andthe sea was in sight; in fact, only a few short steps away.","Luckily,"
1087,"As soon as he set foot on the beach, Pinocchio gave aleap and fell into the water.  Alidoro tried to stop, butas he was running very fast, he couldn't, and he, too,landed far out in the sea.  Strange though it may seem,the Dog could not swim.  He beat the water with his paws tohold himself up, but the harder he tried, the deeper he sank.As he stuck his head out once more, the poor fellow's eyeswere bulging and he barked out wildly, ""I drown!  I drown!""","As soon as he set foot on the beach, Pinocchio gave aleap and fell into the water.  Alidoro tried to stop, butas he was running very fast, he couldn't, and he, too,landed far out in the sea.  Strange though it may se"
1088,"""Drown!"" answered Pinocchio from afar, happy at his escape.","""Drown!"" answ"
1089,"""Help, Pinocchio, dear little Pinocchio!  Save me from death!""","""Help, Pinocchio, dear little Pinocchio!  Save me fro"
1090,"At those cries of suffering, the Marionette, who afterall had a very kind heart, was moved to compassion.He turned toward the poor animal and said to him:",At those cries of sufferi
1091,"""But if I help you, will you promise not to bother meagain by running after me?""","""But if I help you, will y"
1092,"""I promise!  I promise!  Only hurry, for if you waitanother second, I'll be dead and gone!""","""I promise!  I promise!  Only hurry, for if you wai"
1093,"Pinocchio hesitated still another minute.  Then, rememberinghow his father had often told him that a kind deed is never lost,he swam to Alidoro and, catching hold of his tail, dragged him to the shore.","Pinocchio hesitated still another minute.  Then, rem"
1094,"The poor Dog was so weak he could not stand.  He hadswallowed so much salt water that he was swollen like aballoon.  However, Pinocchio, not wishing to trust himtoo much, threw himself once again into the sea.  As heswam away, he called out:",The poor Dog was so weak he could not stand.  He hadswallowed so much salt wat
1095,"""Good-by, Alidoro, good luck and remember me to the family!""","""Good-by, Alidoro, good luck and"
1096,"""Good-by, little Pinocchio,"" answered the Dog.""A thousand thanks for having saved me from death.You did me a good turn, and, in this world, what is givenis always returned.  If the chance comes, I shall be there.""","""Good-by, little Pinocchio,"" answered the Dog.""A thousand thanks for having saved me"
1097,"Pinocchio went on swimming close to shore.  At lasthe thought he had reached a safe place.  Glancing up anddown the beach, he saw the opening of a cave out of whichrose a spiral of smoke.",Pinocchio went on swimming close to shore.  At lasthe thought he had reached a safe place.  Glancing up anddow
1098,"""In that cave,"" he said to himself, ""there must be a fire.So much the better.  I'll dry my clothes and warm myself,and then--well--""","""In that cave,"" he said to himself, ""there must be a fire.So much the better.  I'll dry my clothes and warm myself,and then--well"
1099,"His mind made up, Pinocchio swam to the rocks, butas he started to climb, he felt something under him liftinghim up higher and higher.  He tried to escape, but he wastoo late.  To his great surprise, he found himself in a hugenet, amid a crowd of fish of all kinds and sizes, who werefighting and struggling desperately to free themselves.","His mind made up, Pinocchio swam to the rocks, butas he started to climb, he felt something under him liftinghim up higher and higher.  He"
1100,"At the same time, he saw a Fisherman come out of thecave, a Fisherman so ugly that Pinocchio thought he was asea monster.  In place of hair, his head was covered by athick bush of green grass.  Green was the skin of his body,green were his eyes, green was the long, long beard thatreached down to his feet.  He looked like a giant lizardwith legs and arms.","At the same time, he saw a Fisherman come out of thecave, a Fisherman so ugly th"
1101,"When the Fisherman pulled the net out of the sea,he cried out joyfully:",When the Fisherman pulled the net ou
1102,"""Blessed Providence!  Once more I'll have a fine meal of fish!""","""Blessed Provide"
1103,"""Thank Heaven, I'm not a fish!"" said Pinocchio to himself,trying with these words to find a little courage.","""Thank Heaven, I'm not a fish!"" said Pi"
1104,"The Fisherman took the net and the fish to the cave,a dark, gloomy, smoky place.  In the middle of it, a panfull of oil sizzled over a smoky fire, sending out a repellingodor of tallow that took away one's breath.","The Fisherman took the net and the fish to the cave,a dark, gloomy, smoky place.  In the middle of it, a panfull of oil sizzled over a smoky fire, sending out a repellingodor of tallow that took away one's breat"
1105,"""Now, let's see what kind of fish we have caughttoday,"" said the Green Fisherman.  He put a hand as bigas a spade into the net and pulled out a handful of mullets.","""Now, let's see "
1106,"""Fine mullets, these!"" he said, after looking at them andsmelling them with pleasure.  After that, he threw theminto a large, empty tub.","""Fine mullets, these!"" he said, after"
1107,"Many times he repeated this performance.  As he pulledeach fish out of the net, his mouth watered with thethought of the good dinner coming, and he said:",Many times he repeated this performance.  As he
1108,"""Fine fish, these bass!""","""Fine f"
1109,"""Very tasty, these whitefish!""","""Very tast"
1110,"""Delicious flounders, these!""","""Delicious flounders, t"
1111,"""What splendid crabs!""",""""
1112,"""And these dear little anchovies, with their heads still on!""","""And these dear little anchovies, wi"
1113,"As you can well imagine, the bass, the flounders, thewhitefish, and even the little anchovies all went togetherinto the tub to keep the mullets company.  The last to comeout of the net was Pinocchio.","As you can well imagine, the bass, the flounders, thewhitefish, and even the little anchovies all went togetherinto the tub to keep the mullets company.  The last "
1114,"As soon as the Fisherman pulled him out, his green eyesopened wide with surprise, and he cried out in fear:","As soon as the Fisherman pulled him out, his green eyesopened wide with"
1115,"""What kind of fish is this?  I don't remember evereating anything like it.""","""What kind of fish is this?  I don't remember evereating anyt"
1116,"He looked at him closely and after turning him over andover, he said at last:",He looked at him closely and after turn
1117,"""I understand.  He must be a crab!""","""I understand.  He"
1118,"Pinocchio, mortified at being taken for a crab, said resentfully:",Pin
1119,"""What nonsense!  A crab indeed!  I am no such thing.Beware how you deal with me! I am a Marionette,I want you to know.""","""What nonsense!  A crab indeed!  I am no such thing.Beware how you "
